City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,agara,42.0376,43.8238,18.83,91,7,2.05,GE,1692736094
1,tiksi,71.6872,128.8694,3.26,92,100,2.45,RU,1692736095
2,dembi dolo,8.5333,34.8,13.98,92,99,2.46,ET,1692736095
3,edinburgh of the seven seas,-37.0676,-12.3116,13.49,88,100,9.5,SH,1692736095
4,pisco,-13.7,-76.2167,20.03,77,100,3.09,PE,1692736095
5,kiiminki,65.1314,25.7974,14.81,100,100,2.15,FI,1692736095
6,ushuaia,-54.8,-68.3,2.81,87,75,9.77,AR,1692735889
7,howrah,22.5892,88.3103,29.0,89,40,3.09,IN,1692736096
8,anloga,5.7947,0.8973,25.0,90,67,4.87,GH,1692736096
9,cadale,2.7603,46.3222,25.77,84,16,7.53,SO,1692736096
10,adamstown,-25.066,-130.1015,19.35,59,100,13.47,PN,1692736096
11,nombre de dios,23.85,-104.2333,25.75,33,48,5.02,MX,1692736096
12,ust'-barguzin,53.45,108.9833,10.08,93,61,1.02,RU,1692736097
13,yellowknife,62.456,-114.3525,18.56,79,75,3.6,CA,1692736097
14,isafjordur,66.0755,-23.124,11.77,71,79,2.2,IS,1692736097
15,lodeve,43.7167,3.3167,30.25,56,99,1.66,FR,1692736097
16,cill airne,52.05,-9.5167,13.66,90,63,0.82,IE,1692736098
17,yuzhno-kurilsk,44.0306,145.8556,20.85,99,100,4.32,RU,1692736098
18,iqaluit,63.7506,-68.5145,10.85,71,75,9.77,CA,1692736098
19,tsiombe,-25.3,45.4833,21.4,79,0,2.22,MG,1692736098
20,port mathurin,-19.6833,63.4167,23.02,77,0,8.92,MU,1692736099
21,kapuskasing,49.4169,-82.4331,23.05,53,100,4.12,CA,1692735962
22,zapala,-38.8992,-70.0544,8.48,44,1,12.22,AR,1692736099
23,margaret river,-33.95,115.0667,13.31,67,100,3.67,AU,1692736100
24,bethel,41.3712,-73.414,26.68,49,0,4.63,US,1692736081
25,alvaraes,-3.2208,-64.8042,34.93,20,11,1.91,BR,1692736100
26,paita,-5.0892,-81.1144,23.62,73,97,5.85,PE,1692736100
27,wailua homesteads,22.0669,-159.378,28.44,81,100,5.66,US,1692736101
28,happy valley-goose bay,53.3168,-60.3315,16.17,55,75,2.57,CA,1692736101
29,luderitz,-26.6481,15.1594,13.73,81,0,4.62,NA,1692736102
30,qaqortoq,60.7167,-46.0333,11.54,66,100,4.99,GL,1692736102
31,palmas de monte alto,-14.2672,-43.1619,30.45,32,98,2.4,BR,1692736103
32,belyy yar,53.6039,91.3903,12.94,94,0,0.0,RU,1692736104
33,mpulungu,-8.7623,31.1141,26.02,35,2,2.71,ZM,1692736104
34,minas de marcona,-15.2119,-75.1103,18.76,58,29,4.3,PE,1692736106
35,whitehorse,60.7161,-135.0538,19.5,55,40,2.06,CA,1692736055
36,hammerfest,70.6634,23.6821,11.25,87,20,3.6,NO,1692736109
37,west island,-12.1568,96.8225,25.99,78,75,5.14,CC,1692736111
38,waitangi,-43.9535,-176.5597,9.34,78,79,4.47,NZ,1692736111
39,sitka,57.0531,-135.33,16.94,63,40,5.14,US,1692736115
40,constantia,44.1833,28.65,25.39,70,0,2.54,RO,1692736117
41,tomatlan,19.9333,-105.25,33.85,55,80,4.75,MX,1692736117
42,yelizovo,53.1873,158.3805,14.08,100,75,2.0,RU,1692736117
43,mil'kovo,55.6078,37.7956,15.73,74,82,2.18,RU,1692736117
44,tofol,5.3248,163.0078,28.2,71,100,1.79,FM,1692736117
45,new norfolk,-42.7826,147.0587,9.4,76,100,2.84,AU,1692736118
46,egilsstadir,65.2653,-14.3948,8.95,93,100,3.09,IS,1692736118
47,mount pearl,47.5166,-52.7813,18.03,96,100,3.6,CA,1692736118
48,puerto ayora,-0.7393,-90.3518,27.98,91,96,3.13,EC,1692736118
49,cabo san lucas,22.8909,-109.9124,34.78,58,20,5.14,MX,1692736007
50,grytviken,-54.2811,-36.5092,-1.25,97,98,5.26,GS,1692736121
51,carora,10.1755,-70.0827,31.83,47,100,3.15,VE,1692736122
52,dampit,-8.2116,112.7493,18.94,92,76,2.03,ID,1692736123
53,paso del macho,18.9667,-96.7167,27.06,84,64,1.94,MX,1692736123
54,lobito,-12.3481,13.5456,20.79,92,40,2.8,AO,1692736123
55,namanyere,-7.5167,31.05,20.68,33,0,1.59,TZ,1692736124
56,easton,40.6884,-75.2207,27.66,43,0,5.14,US,1692735873
57,saldanha,-33.0117,17.9442,14.2,91,98,8.16,ZA,1692736124
58,hamilton,39.1834,-84.5333,33.3,48,0,3.6,US,1692735997
59,walvis bay,-22.9575,14.5053,12.53,76,5,2.57,NA,1692736124
60,vilyuchinsk,52.9306,158.4028,14.15,81,100,2.8,RU,1692736124
61,port-aux-francais,-49.35,70.2167,1.22,71,84,5.72,TF,1692736125
62,north bend,43.4065,-124.2243,23.47,66,10,3.72,US,1692736125
63,vadso,70.0744,29.7487,9.49,93,75,3.09,NO,1692736125
64,porto novo,6.4965,2.6036,25.9,88,82,2.71,BJ,1692736125
65,manismata,-2.4667,111.0333,22.63,92,77,1.22,ID,1692736125
66,albany,42.6001,-73.9662,26.24,48,4,0.45,US,1692735862
67,aitape,-3.1374,142.3475,24.96,89,94,2.82,PG,1692736126
68,bilibino,68.0546,166.4372,4.42,72,96,0.48,RU,1692736126
69,ilulissat,69.2167,-51.1,14.01,47,20,1.03,GL,1692736126
70,vikulovo,56.8167,70.6107,10.57,72,98,0.73,RU,1692736126
71,lihue,21.9789,-159.3672,28.77,74,100,5.66,US,1692736126
72,pomona,34.0553,-117.7523,33.38,48,0,3.6,US,1692736041
73,pohang,36.0322,129.365,23.97,92,0,1.56,KR,1692736127
74,port douglas,-16.4833,145.4667,20.41,82,65,3.46,AU,1692736127
75,williston,48.147,-103.618,32.41,31,3,2.85,US,1692735949
76,erenhot,43.6475,111.9767,15.8,40,6,3.15,CN,1692736127
77,luninyets,52.2472,26.8047,15.89,66,80,1.7,BY,1692736127
78,port elizabeth,-33.918,25.5701,11.16,71,0,2.57,ZA,1692736010
79,gadzhiyevo,69.2551,33.3362,8.23,87,100,1.41,RU,1692736128
80,stanley,54.868,-1.6985,15.71,83,0,2.57,GB,1692736050
81,jos,9.9167,8.9,21.94,74,73,1.41,NG,1692736128
82,kloulklubed,7.0419,134.2556,25.28,78,33,4.82,PW,1692736128
83,labrador city,52.9463,-66.9114,11.95,58,75,4.12,CA,1692736128
84,nikolayevsk-on-amure,53.1406,140.73,16.3,95,100,1.12,RU,1692736128
85,katsuura,35.1333,140.3,26.53,92,39,4.29,JP,1692736129
86,acajutla,13.5928,-89.8275,29.62,70,97,2.14,SV,1692736129
87,ribeira grande,38.5167,-28.7,22.22,64,20,1.79,PT,1692736129
88,san luis de la loma,17.2706,-100.8939,30.52,70,18,2.97,MX,1692736129
89,ialibu,-6.2821,143.9935,13.37,98,96,0.32,PG,1692736129
90,topchikha,52.8192,83.1185,16.39,70,21,2.72,RU,1692736129
91,ciudad dario,12.7314,-86.124,32.34,44,89,2.68,NI,1692736130
92,kovel,51.2153,24.7087,17.1,52,34,1.07,UA,1692736130
93,maun,-19.9833,23.4167,18.98,37,2,0.51,BW,1692736130
94,vylkove,45.4021,29.586,24.66,63,19,2.26,UA,1692736130
95,noumea,-22.2763,166.4572,21.11,99,58,3.69,NC,1692735919
96,manokwari,-0.8667,134.0833,25.58,78,100,1.9,ID,1692736130
97,punta arenas,-53.15,-70.9167,3.35,71,91,7.29,CL,1692736131
98,timmins,48.4669,-81.3331,22.9,43,100,2.57,CA,1692736131
99,tongouson,5.0214,120.1328,28.18,72,100,2.34,PH,1692736131
100,tara,56.8944,74.371,11.21,89,88,1.37,RU,1692736131
101,sorong,-0.8833,131.25,24.68,92,100,3.41,ID,1692736131
102,gizo,-8.103,156.8419,26.64,82,74,4.55,SB,1692736131
103,boguchany,58.3814,97.4531,14.73,70,90,0.75,RU,1692736132
104,blackmans bay,-43.0167,147.3167,8.74,74,100,3.49,AU,1692736132
105,jinja,0.439,33.2032,21.73,73,89,1.97,UG,1692736132
106,greenville,35.6127,-77.3663,33.97,54,40,4.12,US,1692736132
107,la'ie,21.6477,-157.9253,30.98,72,35,3.13,US,1692736132
108,grenada,37.1882,-3.6067,31.2,33,0,2.06,ES,1692735998
109,sinabang,2.4803,96.3801,26.34,84,81,2.45,ID,1692736133
